Tree taxa	Putative species	Constraint					
japonicus	Z. japonicus	0	Z. meyeni	Z. meyeni	Z. meyeni	Z. meyeni	Z. meyeni
alani1	Z. japonicus alani	0	Z. meyeni	Z. meyeni	Z. meyeni	Z. meyeni	Z. meyeni
alani2	Z. japonicus alani	0	Z. meyeni	Z. meyeni	Z. meyeni	Z. meyeni	Z. meyeni
alani3	Z. japonicus alani	0	Z. meyeni	Z. meyeni	Z. meyeni	Z. meyeni	Z. meyeni
meyeni1	Z. meyeni	1	Z. meyeni	Z. meyeni	Z. meyeni	Z. meyeni	Z. meyeni
meyeni2	Z. meyeni	1	Z. meyeni	Z. meyeni	Z. meyeni	Z. meyeni	Z. meyeni
meyeni3	Z. meyeni	1	Z. meyeni	Z. meyeni	Z. meyeni	Z. meyeni	Z. meyeni
montanus1	Z. montanus	0	Z. meyeni	Z. meyeni	Z. meyeni	Z. meyeni	Z. meyeni
montanus2	Z. montanus	1	Z. montanus	Z. montanus	Z. montanus	Z. montanus	Z. montanus
montanus3	Z. montanus	1	Z. montanus	Z. montanus	Z. montanus	Z. montanus	Z. montanus
montanus4	Z. montanus	1	Z. montanus	Z. montanus	Z. montanus	Z. montanus	Z. montanus
montanus5	Z. montanus	1	Z. montanus	Z. montanus	Z. montanus	Z. montanus	Z. montanus
montanus6	Z. montanus	1	Z. montanus	Z. montanus	Z. montanus	Z. montanus	Z. montanus
montanus7	Z. montanus	1	Z. montanus	Z. montanus	Z. montanus	Z. montanus	Z. montanus
montanus8	Z. montanus	0	Z. montanus	Z. meyeni	Delimited species 1	Z. montanus	Z. meyeni
simplex1	Z. simplex	1	Z. simplex	Z. simplex	Z. simplex	Z. simplex	Z. simplex
simplex2	Z. simplex	1	Z. simplex	Z. simplex	Z. simplex	Z. simplex	Z. simplex
simplex3	Z. simplex	1	Z. simplex	Z. simplex	Z. simplex	Z. simplex	Z. simplex
erythro1	Z. erythropleurus	1	Z. erythropleurus	Z. erythropleurus	Z. erythropleurus	Z. erythropleurus	Z. erythropleurus
erythro2	Z. erythropleurus	1	Z. erythropleurus	Z. erythropleurus	Z. erythropleurus	Z. erythropleurus	Z. erythropleurus
everetti1	Z. everetti	1	Z. everetti	Z. everetti	Z. everetti	Z. everetti	Z. everetti
everetti2	Z. everetti	1	Z. everetti	Z. everetti	Z. everetti	Z. everetti	Z. everetti
everetti3	Z. everetti	1	Z. everetti	Z. everetti	Z. everetti	Z. everetti	Z. everetti
nigrorum1	Z. nigrorum	0	Delimited species 1	Delimited species 1	Delimited species 2	Z. nigrorum	Z. nigrorum
nigrorum2	Z. nigrorum	1	Z. nigrorum	Z. nigrorum	Z. nigrorum	Z. nigrorum	Z. nigrorum
nigrorum3	Z. nigrorum	1	Z. nigrorum	Z. nigrorum	Z. nigrorum	Z. nigrorum	Z. nigrorum
nigrorum4	Z. nigrorum	1	Z. nigrorum	Z. nigrorum	Z. nigrorum	Z. nigrorum	Z. nigrorum
nigrorum5	Z. nigrorum	0	Z. montanus	Z. montanus	Z. montanus	Z. montanus	Z. montanus
palpebro	Z. palpebrosus	1	Z. palpebrosus	Z. palpebrosus	Z. palpebrosus	Z. palpebrosus	Z. palpebrosus
			0.0239	0.0145	0.0082	0.0077	0.0047
