Tree taxa	Putative species	Constraint					
japonicus	Z. japonicus	0	Z. montanus	Z. montanus	Z. montanus	Delimited species 1	Delimited species 1
alani1	Z. japonicus alani	0	Z. montanus	Z. montanus	Z. montanus	Delimited species 1	Delimited species 1
alani2	Z. japonicus alani	0	Z. montanus	Z. montanus	Z. montanus	Delimited species 1	Delimited species 1
alani3	Z. japonicus alani	0	Z. montanus	Z. montanus	Z. montanus	Delimited species 1	Delimited species 1
meyeni1	Z. meyeni	0	Z. montanus	Z. montanus	Z. montanus	Delimited species 1	Delimited species 1
meyeni2	Z. meyeni	0	Z. montanus	Z. montanus	Z. montanus	Delimited species 1	Delimited species 1
meyeni3	Z. meyeni	0	Z. montanus	Z. montanus	Z. montanus	Delimited species 1	Delimited species 1
montanus1	Z. montanus	0	Z. montanus	Z. montanus	Z. montanus	Delimited species 1	Delimited species 1
montanus2	Z. montanus	1	Z. montanus	Z. montanus	Z. montanus	Z. montanus	Z. montanus
montanus3	Z. montanus	1	Z. montanus	Z. montanus	Z. montanus	Z. montanus	Z. montanus
montanus4	Z. montanus	1	Z. montanus	Z. montanus	Z. montanus	Z. montanus	Z. montanus
montanus5	Z. montanus	1	Z. montanus	Z. montanus	Z. montanus	Z. montanus	Z. montanus
montanus6	Z. montanus	1	Z. montanus	Z. montanus	Z. montanus	Z. montanus	Z. montanus
montanus7	Z. montanus	1	Z. montanus	Z. montanus	Z. montanus	Z. montanus	Z. montanus
montanus8	Z. montanus	0	Z. montanus	Z. montanus	Z. montanus	Z. montanus	Z. montanus
simplex1	Z. simplex	1	Z. simplex	Z. simplex	Z. simplex	Z. simplex	Z. simplex
simplex2	Z. simplex	1	Z. simplex	Z. simplex	Z. simplex	Z. simplex	Z. simplex
simplex3	Z. simplex	1	Z. simplex	Z. simplex	Z. simplex	Z. simplex	Z. simplex
erythro1	Z. erythropleurus	1	Z. erythropleurus	Z. erythropleurus	Z. erythropleurus	Z. erythropleurus	Z. erythropleurus
erythro2	Z. erythropleurus	1	Z. erythropleurus	Z. erythropleurus	Z. erythropleurus	Z. erythropleurus	Z. erythropleurus
everetti1	Z. everetti	1	Z. everetti	Z. everetti	Z. everetti	Z. everetti	Z. everetti
everetti2	Z. everetti	1	Z. everetti	Z. everetti	Z. everetti	Z. everetti	Z. everetti
everetti3	Z. everetti	1	Z. everetti	Z. everetti	Z. everetti	Z. everetti	Z. everetti
nigrorum1	Z. nigrorum	0	Delimited species 1	Z. nigrorum	Z. everetti	Delimited species 2	Z. nigrorum
nigrorum2	Z. nigrorum	1	Z. nigrorum	Z. nigrorum	Z. nigrorum	Z. nigrorum	Z. nigrorum
nigrorum3	Z. nigrorum	1	Z. nigrorum	Z. nigrorum	Z. nigrorum	Z. nigrorum	Z. nigrorum
nigrorum4	Z. nigrorum	1	Z. nigrorum	Z. nigrorum	Z. nigrorum	Z. nigrorum	Z. nigrorum
nigrorum5	Z. nigrorum	0	Z. montanus	Z. montanus	Z. montanus	Z. montanus	Z. montanus
palpebro	Z. palpebrosus	1	Z. palpebrosus	Z. palpebrosus	Z. palpebrosus	Z. palpebrosus	Z. palpebrosus	
			0.1247	0.0823	0.0192	0.0158	0.0104
