Gen	theta_1Jp	theta_2Me	theta_3MoN	theta_4MoS	theta_5Si	theta_6JpMeMoNMoSSi	theta_7JpMeMoNMoS	theta_8JpMeMoN	theta_9JpMe	tau_6JpMeMoNMoSSi	tau_7JpMeMoNMoS	tau_8JpMeMoN	tau_9JpMe	lnL
2	0.002491	0.000984	0.001768	0.015555	0.002562	0.005781	0.002536	0.004769	0.000860	0.001281	0.000568	0.000308	0.000249	-10423.536
4	0.002491	0.000984	0.001768	0.014513	0.002562	0.005785	0.002232	0.004769	0.000860	0.001281	0.000603	0.000308	0.000249	-10427.422
6	0.002491	0.000984	0.001768	0.014513	0.002562	0.006007	0.002504	0.004769	0.000778	0.001255	0.000571	0.000308	0.000276	-10448.149
8	0.002791	0.001103	0.001981	0.016262	0.002870	0.006987	0.002697	0.005343	0.000871	0.001379	0.000652	0.000345	0.000309	-10424.126
10	0.003098	0.001224	0.002200	0.018288	0.003186	0.007480	0.002868	0.007038	0.000967	0.001560	0.000739	0.000377	0.000343	-10423.274
12	0.002686	0.001061	0.001907	0.015853	0.002762	0.006575	0.002486	0.006101	0.000838	0.001343	0.000640	0.000327	0.000297	-10396.741
14	0.002686	0.001061	0.001907	0.015853	0.002762	0.007734	0.002553	0.007759	0.000905	0.001335	0.000632	0.000327	0.000276	-10434.543
16	0.002686	0.001061	0.001907	0.015230	0.002762	0.008103	0.002751	0.005685	0.000905	0.001303	0.000610	0.000346	0.000276	-10434.247
18	0.002565	0.001014	0.001821	0.014543	0.002638	0.007374	0.002482	0.005023	0.000864	0.001277	0.000597	0.000321	0.000263	-10412.456
20	0.002262	0.000894	0.001606	0.012826	0.002326	0.006377	0.001938	0.003657	0.000739	0.001138	0.000558	0.000293	0.000239	-10424.880
22	0.002577	0.001018	0.001830	0.014613	0.002650	0.006853	0.002182	0.004166	0.000842	0.001297	0.000640	0.000334	0.000273	-10396.747
24	0.002908	0.001149	0.002064	0.016487	0.002990	0.007817	0.002300	0.004701	0.000950	0.001454	0.000746	0.000377	0.000307	-10404.894
26	0.002908	0.001149	0.002064	0.016487	0.002990	0.007111	0.002301	0.006350	0.000950	0.001421	0.000746	0.000359	0.000307	-10415.897
28	0.002535	0.001002	0.001800	0.014372	0.002607	0.007295	0.001779	0.006615	0.000829	0.001151	0.000694	0.000313	0.000268	-10425.049
30	0.002535	0.001002	0.001800	0.014372	0.002607	0.007309	0.001779	0.004541	0.000829	0.001150	0.000694	0.000334	0.000268	-10429.505
32	0.002535	0.001002	0.001800	0.014372	0.002607	0.006752	0.001768	0.004541	0.001307	0.001186	0.000696	0.000334	0.000238	-10421.519
34	0.002337	0.000924	0.001659	0.012545	0.002404	0.006225	0.001609	0.004186	0.001187	0.001093	0.000646	0.000308	0.000223	-10420.620
36	0.002464	0.000974	0.001749	0.013224	0.002534	0.006311	0.001889	0.004413	0.001251	0.001189	0.000644	0.000324	0.000235	-10426.595
38	0.002464	0.000974	0.001749	0.013224	0.002534	0.006594	0.002047	0.004758	0.001251	0.001166	0.000620	0.000324	0.000235	-10422.596
40	0.002464	0.000974	0.001749	0.013224	0.002534	0.006674	0.002291	0.004758	0.001251	0.001138	0.000588	0.000324	0.000235	-10427.129
42	0.002464	0.000974	0.001749	0.013224	0.002534	0.006674	0.002404	0.004758	0.001143	0.001138	0.000576	0.000324	0.000257	-10429.363
44	0.002493	0.000985	0.002216	0.013379	0.001570	0.006569	0.002573	0.004814	0.001156	0.001151	0.000569	0.000328	0.000260	-10435.011
46	0.002628	0.001039	0.002336	0.014107	0.001656	0.006653	0.002377	0.004580	0.001219	0.001239	0.000634	0.000354	0.000274	-10433.394
48	0.002628	0.001039	0.002336	0.014107	0.001656	0.005916	0.002685	0.004580	0.001219	0.001245	0.000602	0.000354	0.000274	-10445.086
50	0.002395	0.000946	0.002129	0.012854	0.001508	0.005278	0.002638	0.004173	0.001111	0.001147	0.000532	0.000322	0.000250	-10444.893
52	0.002395	0.000946	0.002129	0.012854	0.001508	0.005371	0.002658	0.004173	0.001192	0.001136	0.000531	0.000322	0.000233	-10427.519
54	0.002395	0.000946	0.002129	0.012854	0.001508	0.005387	0.002658	0.003821	0.001261	0.001135	0.000531	0.000322	0.000220	-10450.373
56	0.002534	0.001001	0.003216	0.013598	0.001596	0.005674	0.002869	0.003037	0.001334	0.001202	0.000551	0.000377	0.000233	-10434.429
58	0.002255	0.000891	0.002863	0.012105	0.001421	0.005189	0.002554	0.003125	0.001187	0.001055	0.000491	0.000318	0.000207	-10419.768
60	0.002255	0.000891	0.002863	0.011149	0.001421	0.004992	0.002554	0.002957	0.001238	0.001077	0.000491	0.000325	0.000199	-10439.419
62	0.002255	0.000771	0.002863	0.011149	0.001421	0.004727	0.002554	0.003739	0.001107	0.001110	0.000491	0.000305	0.000222	-10419.367
64	0.002255	0.000771	0.002863	0.011149	0.001421	0.004434	0.002553	0.003339	0.001107	0.001151	0.000491	0.000315	0.000222	-10432.252
66	0.002255	0.000771	0.002249	0.011149	0.001421	0.004664	0.002244	0.003127	0.001107	0.001118	0.000514	0.000321	0.000222	-10440.475
68	0.002484	0.000849	0.002477	0.012279	0.001565	0.005450	0.002259	0.004355	0.001138	0.001193	0.000589	0.000331	0.000262	-10444.175
70	0.002710	0.000926	0.002702	0.013398	0.001707	0.005644	0.002482	0.004752	0.001242	0.001337	0.000640	0.000361	0.000286	-10432.470
72	0.002710	0.000926	0.002702	0.013398	0.001707	0.005849	0.003123	0.005048	0.001242	0.001313	0.000583	0.000356	0.000286	-10454.799
74	0.002411	0.000824	0.002404	0.011920	0.001519	0.005732	0.002778	0.004491	0.001113	0.001193	0.000519	0.000317	0.000253	-10436.050
76	0.002559	0.000875	0.002552	0.012652	0.001612	0.006410	0.003108	0.004767	0.001182	0.001229	0.000540	0.000337	0.000268	-10415.396
78	0.002549	0.000871	0.002132	0.012600	0.001605	0.006703	0.002380	0.004747	0.001217	0.001192	0.000537	0.000335	0.000258	-10426.288
80	0.002511	0.000858	0.002101	0.012413	0.001582	0.006635	0.002655	0.004677	0.001199	0.001170	0.000506	0.000330	0.000255	-10440.837
82	0.002702	0.000923	0.003026	0.013358	0.001702	0.007677	0.002477	0.005033	0.001435	0.001209	0.000574	0.000355	0.000246	-10424.127
84	0.002702	0.000923	0.003026	0.013358	0.001702	0.006399	0.002477	0.006443	0.001435	0.001222	0.000574	0.000332	0.000246	-10410.169
86	0.002702	0.000923	0.003026	0.013358	0.001702	0.006531	0.003170	0.007539	0.001435	0.001209	0.000519	0.000319	0.000246	-10413.572
